API Call,Start Time,End Time,Latency
1,2024-10-25 04:58:52.468293,2024-10-25 04:58:52.528494,0.060201168060302734
2,2024-10-25 04:58:52.528494,2024-10-25 04:58:52.588398,0.05990433692932129
3,2024-10-25 04:58:52.588398,2024-10-25 04:58:52.664383,0.07598519325256348
4,2024-10-25 04:58:52.664383,2024-10-25 04:58:52.728458,0.06407451629638672
5,2024-10-25 04:58:52.728458,2024-10-25 04:58:52.798464,0.0700063705444336
6,2024-10-25 04:58:52.798464,2024-10-25 04:58:52.858516,0.060051679611206055
7,2024-10-25 04:58:52.858516,2024-10-25 04:58:52.928338,0.06982207298278809
8,2024-10-25 04:58:52.928338,2024-10-25 04:58:53.004525,0.0761873722076416
9,2024-10-25 04:58:53.004525,2024-10-25 04:58:53.068850,0.06432437896728516
10,2024-10-25 04:58:53.068850,2024-10-25 04:58:53.128984,0.060133934020996094
11,2024-10-25 04:58:53.128984,2024-10-25 04:58:53.208467,0.0794827938079834
12,2024-10-25 04:58:53.208467,2024-10-25 04:58:53.277902,0.06943535804748535
13,2024-10-25 04:58:53.277902,2024-10-25 04:58:53.338422,0.06052041053771973
14,2024-10-25 04:58:53.338422,2024-10-25 04:58:53.407913,0.06949043273925781
15,2024-10-25 04:58:53.407913,2024-10-25 04:58:53.478330,0.07041692733764648
16,2024-10-25 04:58:53.478330,2024-10-25 04:58:53.548381,0.07005167007446289
17,2024-10-25 04:58:53.548381,2024-10-25 04:58:53.618417,0.07003569602966309
18,2024-10-25 04:58:53.618417,2024-10-25 04:58:53.687936,0.06951904296875
19,2024-10-25 04:58:53.687936,2024-10-25 04:58:53.758288,0.07035160064697266
20,2024-10-25 04:58:53.758288,2024-10-25 04:58:53.818416,0.06012868881225586
21,2024-10-25 04:58:53.818416,2024-10-25 04:58:53.888303,0.06988644599914551
22,2024-10-25 04:58:53.888303,2024-10-25 04:58:53.964774,0.07647109031677246
23,2024-10-25 04:58:53.964774,2024-10-25 04:58:54.027979,0.06320524215698242
24,2024-10-25 04:58:54.027979,2024-10-25 04:58:54.098154,0.0701749324798584
25,2024-10-25 04:58:54.098154,2024-10-25 04:58:54.172986,0.07483148574829102
26,2024-10-25 04:58:54.172986,2024-10-25 04:58:54.238252,0.06526637077331543
27,2024-10-25 04:58:54.248183,2024-10-25 04:58:54.318035,0.06985163688659668
28,2024-10-25 04:58:54.318190,2024-10-25 04:58:54.389211,0.07102084159851074
29,2024-10-25 04:58:54.389211,2024-10-25 04:58:54.458373,0.06916165351867676
30,2024-10-25 04:58:54.458373,2024-10-25 04:58:54.527913,0.06954073905944824
31,2024-10-25 04:58:54.527913,2024-10-25 04:58:54.608313,0.0803992748260498
32,2024-10-25 04:58:54.608313,2024-10-25 04:58:54.667975,0.059662580490112305
33,2024-10-25 04:58:54.667975,2024-10-25 04:58:54.748368,0.08039283752441406
34,2024-10-25 04:58:54.748368,2024-10-25 04:58:54.818256,0.06988811492919922
35,2024-10-25 04:58:54.818256,2024-10-25 04:58:54.877917,0.05966067314147949
36,2024-10-25 04:58:54.877917,2024-10-25 04:58:54.947923,0.0700063705444336
37,2024-10-25 04:58:54.947923,2024-10-25 04:58:55.018225,0.07030177116394043
38,2024-10-25 04:58:55.018225,2024-10-25 04:58:55.088241,0.07001543045043945
39,2024-10-25 04:58:55.088241,2024-10-25 04:58:55.148193,0.059952735900878906
40,2024-10-25 04:58:55.148193,2024-10-25 04:58:55.227897,0.07970380783081055
41,2024-10-25 04:58:55.227897,2024-10-25 04:58:55.288113,0.06021618843078613
42,2024-10-25 04:58:55.288113,2024-10-25 04:58:55.351658,0.06354498863220215
43,2024-10-25 04:58:55.351658,2024-10-25 04:58:55.422973,0.07131505012512207
44,2024-10-25 04:58:55.422973,2024-10-25 04:58:55.488118,0.06514525413513184
45,2024-10-25 04:58:55.488118,2024-10-25 04:58:55.558140,0.0700218677520752
46,2024-10-25 04:58:55.558140,2024-10-25 04:58:55.628109,0.06996846199035645
47,2024-10-25 04:58:55.628109,2024-10-25 04:58:55.687914,0.059804677963256836
48,2024-10-25 04:58:55.687914,2024-10-25 04:58:55.758059,0.07014584541320801
49,2024-10-25 04:58:55.758059,2024-10-25 04:58:55.828052,0.0699925422668457
50,2024-10-25 04:58:55.828052,2024-10-25 04:58:55.894289,0.0662376880645752
51,2024-10-25 04:58:55.894289,2024-10-25 04:58:55.957727,0.06343722343444824
52,2024-10-25 04:58:55.957727,2024-10-25 04:58:56.039420,0.08169341087341309
53,2024-10-25 04:58:56.039420,2024-10-25 04:58:56.099438,0.060018301010131836
54,2024-10-25 04:58:56.099438,2024-10-25 04:58:56.165058,0.06561970710754395
55,2024-10-25 04:58:56.165058,2024-10-25 04:58:56.233904,0.06884551048278809
56,2024-10-25 04:58:56.233904,2024-10-25 04:58:56.301639,0.06773567199707031
57,2024-10-25 04:58:56.301639,2024-10-25 04:58:56.365234,0.06359434127807617
58,2024-10-25 04:58:56.365234,2024-10-25 04:58:56.430822,0.06558799743652344
59,2024-10-25 04:58:56.430822,2024-10-25 04:58:56.501805,0.0709836483001709
60,2024-10-25 04:58:56.501805,2024-10-25 04:58:56.572966,0.07116031646728516
61,2024-10-25 04:58:56.572966,2024-10-25 04:58:56.638070,0.06510424613952637
62,2024-10-25 04:58:56.638070,2024-10-25 04:58:56.698082,0.060011863708496094
63,2024-10-25 04:58:56.698082,2024-10-25 04:58:56.768672,0.07059001922607422
64,2024-10-25 04:58:56.768672,2024-10-25 04:58:56.832867,0.06419491767883301
65,2024-10-25 04:58:56.832867,2024-10-25 04:58:56.902424,0.06955718994140625
66,2024-10-25 04:58:56.902424,2024-10-25 04:58:56.969879,0.06745529174804688
67,2024-10-25 04:58:56.969879,2024-10-25 04:58:57.038153,0.06827354431152344
68,2024-10-25 04:58:57.038153,2024-10-25 04:58:57.110327,0.072174072265625
69,2024-10-25 04:58:57.110327,2024-10-25 04:58:57.177913,0.06758666038513184
70,2024-10-25 04:58:57.177913,2024-10-25 04:58:57.252345,0.0744314193725586
71,2024-10-25 04:58:57.252345,2024-10-25 04:58:57.319253,0.06690812110900879
72,2024-10-25 04:58:57.319253,2024-10-25 04:58:57.389016,0.0697634220123291
73,2024-10-25 04:58:57.389016,2024-10-25 04:58:57.467495,0.07847833633422852
74,2024-10-25 04:58:57.467495,2024-10-25 04:58:57.527590,0.060095787048339844
75,2024-10-25 04:58:57.527590,2024-10-25 04:58:57.597664,0.07007360458374023
76,2024-10-25 04:58:57.597664,2024-10-25 04:58:57.667779,0.0701150894165039
77,2024-10-25 04:58:57.667779,2024-10-25 04:58:57.737478,0.06969881057739258
78,2024-10-25 04:58:57.737478,2024-10-25 04:58:57.807440,0.0699622631072998
79,2024-10-25 04:58:57.807440,2024-10-25 04:58:57.884511,0.07707071304321289
80,2024-10-25 04:58:57.885506,2024-10-25 04:58:57.947510,0.06200385093688965
81,2024-10-25 04:58:57.947510,2024-10-25 04:58:58.012685,0.06517577171325684
82,2024-10-25 04:58:58.012685,2024-10-25 04:58:58.077875,0.06518959999084473
83,2024-10-25 04:58:58.077875,2024-10-25 04:58:58.145380,0.0675051212310791
84,2024-10-25 04:58:58.145380,2024-10-25 04:58:58.215685,0.07030463218688965
85,2024-10-25 04:58:58.215685,2024-10-25 04:58:58.287762,0.07207727432250977
86,2024-10-25 04:58:58.287762,2024-10-25 04:58:58.357806,0.07004427909851074
87,2024-10-25 04:58:58.357806,2024-10-25 04:58:58.430724,0.07291817665100098
88,2024-10-25 04:58:58.430724,2024-10-25 04:58:58.502698,0.07197356224060059
89,2024-10-25 04:58:58.502698,2024-10-25 04:58:58.589572,0.08687376976013184
90,2024-10-25 04:58:58.589572,2024-10-25 04:58:58.659839,0.0702667236328125
91,2024-10-25 04:58:58.659839,2024-10-25 04:58:58.729487,0.06964874267578125
92,2024-10-25 04:58:58.729487,2024-10-25 04:58:58.797517,0.06802964210510254
93,2024-10-25 04:58:58.797517,2024-10-25 04:58:58.873398,0.0758812427520752
94,2024-10-25 04:58:58.873956,2024-10-25 04:58:58.937840,0.06388378143310547
95,2024-10-25 04:58:58.937840,2024-10-25 04:58:59.007508,0.06966805458068848
96,2024-10-25 04:58:59.007508,2024-10-25 04:58:59.067431,0.05992293357849121
97,2024-10-25 04:58:59.067431,2024-10-25 04:58:59.127842,0.06041073799133301
98,2024-10-25 04:58:59.127842,2024-10-25 04:58:59.197397,0.06955504417419434
99,2024-10-25 04:58:59.197397,2024-10-25 04:58:59.267749,0.07035183906555176
100,2024-10-25 04:58:59.267749,2024-10-25 04:58:59.346068,0.07831931114196777
